F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
1,2,0.02,0.06,0.03,130.0,130.0,130.0,0.0,0.0,1,-360.0,360.0
1,3,0.05,0.19,0.02,130.0,130.0,130.0,0.0,0.0,1,-360.0,360.0
2,4,0.06,0.17,0.02,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
3,4,0.01,0.04,0.0,130.0,130.0,130.0,0.0,0.0,1,-360.0,360.0
2,5,0.05,0.2,0.02,130.0,130.0,130.0,0.0,0.0,1,-360.0,360.0
2,6,0.06,0.18,0.02,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
4,6,0.01,0.04,0.0,90.0,90.0,90.0,0.0,0.0,1,-360.0,360.0
5,7,0.05,0.12,0.01,70.0,70.0,70.0,0.0,0.0,1,-360.0,360.0
6,7,0.03,0.08,0.01,130.0,130.0,130.0,0.0,0.0,1,-360.0,360.0
6,8,0.01,0.04,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
6,9,0.0,0.21,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
6,10,0.0,0.56,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
9,11,0.0,0.21,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
9,10,0.0,0.11,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
4,12,0.0,0.26,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
12,13,0.0,0.14,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
12,14,0.12,0.26,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
12,15,0.07,0.13,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
12,16,0.09,0.2,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
14,15,0.22,0.2,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
16,17,0.08,0.19,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
15,18,0.11,0.22,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
18,19,0.06,0.13,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
19,20,0.03,0.07,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
10,20,0.09,0.21,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
10,17,0.03,0.08,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
10,21,0.03,0.07,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
10,22,0.07,0.15,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
21,22,0.01,0.02,0.0,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
15,23,0.1,0.2,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
22,24,0.12,0.18,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
23,24,0.13,0.27,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
24,25,0.19,0.33,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
25,26,0.25,0.38,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
25,27,0.11,0.21,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
28,27,0.0,0.4,0.0,65.0,65.0,65.0,0.0,0.0,1,-360.0,360.0
27,29,0.22,0.42,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
27,30,0.32,0.6,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
29,30,0.24,0.45,0.0,16.0,16.0,16.0,0.0,0.0,1,-360.0,360.0
8,28,0.06,0.2,0.02,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
6,28,0.02,0.06,0.01,32.0,32.0,32.0,0.0,0.0,1,-360.0,360.0
